model,seed,stage,down_format,qat_data,parent_package,evaluation_package,dataset,split,subset,subset_identity,metric_protocol,ppl,nll,targets,input_tokens,unscored_tail_tokens,reuse_status,completion,evidence_path
meta-llama/Llama-3.2-1B-Instruct,,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct,Salesforce/wikitext,validation,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase3/auditor/final-best-20260914/validation_input_tokens.pt,BF16 logits CE reduction none; losses to FP32; float32 segment PPL then log; target-weighted NLL,13.634657725643203,2.612614913352714,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/auditor/final-best-20260914/bf16.result.json
meta-llama/Llama-3.2-1B-Instruct,42,B100-initial-SP2,SP2,none,,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",17.11711490993314,2.840078834896178,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-down-neighbor,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-down-round-20260914b/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",16.507098542639632,2.8037905030961543,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-down-round-20260914b/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-range-contract,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-down-round-20260914b/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-rounded-sp2-contract-20260914a/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",16.19254871508746,2.7845511805673966,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-rounded-sp2-contract-20260914a/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-PTQ,SP2,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-rounded-sp2-contract-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",16.112577060930427,2.779600150933802,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/validation.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/distill-b100-refined-ref-adam1e5-400-20260914a/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,validation,wikitext-2-raw-v1,full cached WikiText-2 validation,"existing evaluator: BF16 logits CE, per-token loss to FP32; log(float32 PPL), weighted by predicted tokens",14.581654675328117,2.6797642095325815,252728,252852,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/distill-b100-refined-ref-adam1e5-400-20260914a/checkpoint-0400/validation.json
meta-llama/Llama-3.2-1B-Instruct,,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase3/wiki2-test-bf16-fixed-20260917a/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",13.162650325300651,2.5773832981204734,288934,289076,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/wiki2-test-bf16-fixed-20260917a/result.json
meta-llama/Llama-3.2-1B-Instruct,42,SP2-QAT400,SP2,WikiText-2 train only,/home/dongpeiyan/projects/rotation-quant/runs/phase3/seq-b100-sp2-refine-down-20260914a/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/distill-b100-refined-ref-adam1e5-400-20260914a/checkpoint-0400/static_w4a8.pt,Salesforce/wikitext,test,wikitext-2-raw-v1,/home/dongpeiyan/projects/rotation-quant/runs/phase3/wiki2-test-best-fixed-20260917a/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",14.154416405154963,2.650026688830493,288934,289076,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/wiki2-test-best-fixed-20260917a/result.json
meta-llama/Llama-3.2-1B-Instruct,,BF16,BF16,none,,/home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",21.843397624525274,3.0838987076656394,2096128,2097152,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/c4-bf16-fixed-20260915a/result.json
meta-llama/Llama-3.2-1B-Instruct,42,B100-format-control-INT8,INT8,none,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,/home/dongpeiyan/projects/rotation-quant/runs/phase3/route-b-adam-100-20260914a/checkpoint-0100/static_w4a8.pt,allenai/c4,validation,en,/home/dongpeiyan/projects/rotation-quant/runs/phase2/c4-acceptance-c-20260912.FJXr6U/data/input_tokens.pt,"BF16 logits CE; per-token loss to FP32; log(float32 segment PPL), target-weighted NLL",1330.1567504736056,7.193052071770102,2096128,2097152,0,inherited_no_rerun,COMPLETED,/home/dongpeiyan/projects/rotation-quant/runs/phase3/c4-b100-int8-fixed-20260918a/result.json
