The tokenizer class you load from this checkpoint is not the same type as the class this function is called from. It may result in unexpected tokenization. 
The tokenizer class you load from this checkpoint is 'PreTrainedTokenizerFast'. 
The class this function is called from is 'LlamaTokenizerFast'.
You are using the default legacy behaviour of the <class 'transformers.models.llama.tokenization_llama_fast.LlamaTokenizerFast'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565 - if you loaded a llama tokenizer from a GGUF file you can ignore this message.
Token indices sequence length is longer than the specified maximum sequence length for this model (252852 > 2048). Running this sequence through the model will result in indexing errors
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/dongpeiyan/miniconda3/envs/rotation-quant-p0/lib/python3.9/site-packages/transformers/modeling_utils.py:4713: FutureWarning: `_is_quantized_training_enabled` is going to be deprecated in transformers 4.39.0. Please use `model.hf_quantizer.is_trainable` instead
  warnings.warn(
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s]The attention layers in this model are transitioning from computing the RoPE embeddings internally through `position_ids` (2D tensor with the indexes of the tokens), to using externally computed `position_embeddings` (Tuple of tensors, containing cos and sin). In v4.46 `position_ids` will be removed and `position_embeddings` will be mandatory.
(Eval) Layers:   6%|▋         | 1/16 [00:00<00:02,  5.95it/s](Eval) Layers:  19%|█▉        | 3/16 [00:00<00:01, 11.05it/s](Eval) Layers:  31%|███▏      | 5/16 [00:00<00:00, 13.45it/s](Eval) Layers:  44%|████▍     | 7/16 [00:00<00:00, 14.51it/s](Eval) Layers:  56%|█████▋    | 9/16 [00:00<00:00, 15.04it/s](Eval) Layers:  69%|██████▉   | 11/16 [00:00<00:00, 15.41it/s](Eval) Layers:  81%|████████▏ | 13/16 [00:00<00:00, 15.42it/s](Eval) Layers:  94%|█████████▍| 15/16 [00:01<00:00, 15.11it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 14.26it/s]
{"stage": "sequential-round-fit", "pid": 3709002, "time": 1789702032.958837, "cuda_visible_devices": "1", "allocated_gib": 2.8024439811706543, "reserved_gib": 3.171875, "peak_allocated_gib": 3.1024928092956543, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "fit_rows": 49152, "heldout_rows": 16384}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702033.898359, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 128}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702034.5808609, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 256}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702035.2613366, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 384}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702035.996135, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 512}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702036.677947, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 640}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702037.3600755, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 768}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702038.0432441, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 896}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702038.7254758, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1024}
{"stage": "sequential-round-coordinate", "pid": 3709002, "time": 1789702039.4079108, "cuda_visible_devices": "1", "allocated_gib": 4.7712721824646, "reserved_gib": 7.484375, "peak_allocated_gib": 7.2712016105651855, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1152}
